source,target,source_spotify_id,target_spotify_id,source_genres,target_genres,shared_genres,shared_genres_count,jaccard_similarity
underscores,Ecco2k,7HfUJxeVTgrvhk0eWHFzV7,6hG0VsXXlD10l60TqiIHIX,hyperpop,cloud rap; hyperpop,hyperpop,1,0.5
underscores,BABii,7HfUJxeVTgrvhk0eWHFzV7,30qGwXnygZNCzxjN7QsIR0,hyperpop,hyperpop,hyperpop,1,1.0
underscores,2hollis,7HfUJxeVTgrvhk0eWHFzV7,72NhFAGG5Pt91VbheJeEPG,hyperpop,electroclash; hyperpop,hyperpop,1,0.5
Bladee,A. G. Cook,2xvtxDNInKDV4AvGmjw6d1,335TWGWGFan4vaacJzSiU8,cloud rap; hyperpop,hyperpop,hyperpop,1,0.5
Bladee,Ecco2k,2xvtxDNInKDV4AvGmjw6d1,6hG0VsXXlD10l60TqiIHIX,cloud rap; hyperpop,cloud rap; hyperpop,cloud rap; hyperpop,2,1.0
Bladee,BABii,2xvtxDNInKDV4AvGmjw6d1,30qGwXnygZNCzxjN7QsIR0,cloud rap; hyperpop,hyperpop,hyperpop,1,0.5
Oklou,A. G. Cook,6fFcUOFcbjeIuEomuUthkw,335TWGWGFan4vaacJzSiU8,art pop; hyperpop,hyperpop,hyperpop,1,0.5
Oklou,BABii,6fFcUOFcbjeIuEomuUthkw,30qGwXnygZNCzxjN7QsIR0,art pop; hyperpop,hyperpop,hyperpop,1,0.5
A. G. Cook,Ecco2k,335TWGWGFan4vaacJzSiU8,6hG0VsXXlD10l60TqiIHIX,hyperpop,cloud rap; hyperpop,hyperpop,1,0.5
A. G. Cook,BABii,335TWGWGFan4vaacJzSiU8,30qGwXnygZNCzxjN7QsIR0,hyperpop,hyperpop,hyperpop,1,1.0
A. G. Cook,2hollis,335TWGWGFan4vaacJzSiU8,72NhFAGG5Pt91VbheJeEPG,hyperpop,electroclash; hyperpop,hyperpop,1,0.5
Nation,The Dare,03D2b6ATNCne8B3D251ncQ,2mqiqsaX4LzFnUP7PmHGAb,electroclash; witch house,electroclash,electroclash,1,0.5
The Dare,2hollis,2mqiqsaX4LzFnUP7PmHGAb,72NhFAGG5Pt91VbheJeEPG,electroclash,electroclash; hyperpop,electroclash,1,0.5
Ecco2k,BABii,6hG0VsXXlD10l60TqiIHIX,30qGwXnygZNCzxjN7QsIR0,cloud rap; hyperpop,hyperpop,hyperpop,1,0.5
BABii,2hollis,30qGwXnygZNCzxjN7QsIR0,72NhFAGG5Pt91VbheJeEPG,hyperpop,electroclash; hyperpop,hyperpop,1,0.5
